category,rating,discounted,title,price,image_urls,product_url,sku,img_url
Daily Needs,0 / 5,-4%,Omnitest plus Strip,1199,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/m/omnitest-plus-strip.jpg,https://www.pickaboo.com/daily-need/health-care-device/omnitest-plus-strip.html,RAMOPSKMH,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/m/omnitest-plus-strip.jpg
Mobiles & Tablets,4.65 / 5,,HUAWEI Y7 Pro 2018,15990,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/h/u/huawei-y7-prime-2018-base.jpg,https://www.pickaboo.com/mobile-tablet/mobile-phone/huawei-y7-pro-2018.html,WASY7PADA,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/h/u/huawei-y7-prime-2018-base.jpg
Daily Needs,0 / 5,-9%,SUPER STAR 3Pin 4S 2200W Premium Series Extension Socket without USB- Black,649,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-3pin-4s-2200w-premium-series-extension-socket-without-usb--black.jpg,https://www.pickaboo.com/daily-need/switch-socket/super-star-3pin-4s-2200w-premium-series-extension-socket-without-usb-black.html,OMA3P4BSSG,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-3pin-4s-2200w-premium-series-extension-socket-without-usb--black.jpg
Daily Needs,0 / 5,-8%,SUPER STAR 3Pin 5S 2200W Premium Series Extension Socket without USB- Black,749,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-2pin-5s-2200w-premium-series-extension-socket-without-usb--black_1.jpg,https://www.pickaboo.com/daily-need/switch-socket/super-star-3pin-5s-2200w-premium-series-extension-socket-without.html,OMA3P5BSSG,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-2pin-5s-2200w-premium-series-extension-socket-without-usb--black_1.jpg
Daily Needs,0 / 5,-9%,SUPER STAR 3Pin 4S 2200W Premium Series Extension Socket (PF0PRES00043),599,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-2pin-4s-2200w-premium-series-extension-socket_1.jpg,https://www.pickaboo.com/daily-need/switch-socket/super-star-3pin-4s-2200w-extension-socket.html,OMA3P4SSG,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-2pin-4s-2200w-premium-series-extension-socket_1.jpg
Daily Needs,0 / 5,-11%,SUPER STAR 3Pin 4S 2200W Premium Series Extension Socket with USB (PF0PRES00U43),799,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-2pin-4s-2200w-premium-series-extension-socket_3.jpg,https://www.pickaboo.com/daily-need/switch-socket/super-star-3pin-4s-2200w-premium-series-extension-socket-with-usb.html,OMA3PUSSG,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-2pin-4s-2200w-premium-series-extension-socket_3.jpg
Daily Needs,0 / 5,-8%,SUPER STAR 3Pin 3S 2200W Premium Series Extension Socket without USB–Black,599,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-3pin-3s-2200w-premium-series-extension-socket-without-usb_black.jpg,https://www.pickaboo.com/daily-need/switch-socket/super-star-3pin-3s-2200w-premium-series-extension-socket-without.html,OMA3P3BSSG,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-3pin-3s-2200w-premium-series-extension-socket-without-usb_black.jpg
Daily Needs,0 / 5,-8%,SUPER STAR 2Pin 5S 2200W Premium Series Extension Socket without USB- Black,749,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-2pin-5s-2200w-premium-series-extension-socket-without-usb--black.jpg,https://www.pickaboo.com/daily-need/switch-socket/super-star-2pin-5s-2200w-premium-series-extension-socket-without-usb-black.html,OMA2P5BSSG,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-2pin-5s-2200w-premium-series-extension-socket-without-usb--black.jpg
Daily Needs,0 / 5,,Clariss Air Freshener – 300ml (Cocktail),240,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/o/cocktail-s-d-3-2-w-1-21-3-1.jpg,https://www.pickaboo.com/daily-need/household-essentials/clariss-air-freshener-300ml-cocktail.html,TANAF3LPGT,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/o/cocktail-s-d-3-2-w-1-21-3-1.jpg
Daily Needs,0 / 5,-20%,LDNIO Universal Power Strip Adapter (SC3301),1200,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/m/u/multiplag_3.jpg,https://www.pickaboo.com/daily-need/switch-socket/ldnio-universal-power-strip-adapter-sc3301.html,FAZ3301BEA,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/m/u/multiplag_3.jpg
Daily Needs,0 / 5,-8%,SUPER STAR 2Pin 3S 2200W Premium Series Extension Socket Without USB - Black 3 Meter,599,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-2pin-3s-2200w-premium-series-extension-socket-without-usb--black.jpg,https://www.pickaboo.com/daily-need/switch-socket/super-star-2pin-3s-2200w-premium-series-extension-socket-without-usb-black.html,OMA2PBSSG,https://d1lwfjp709sq0o.cloudfront.net/media/catalog/product/cache/1/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/s/u/super-star-2pin-3s-2200w-premium-series-extension-socket-without-usb--black.jpg
